Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
121 - 4783,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,753,5,3.4,3823,0001,0023,Plynas sanitarinis kirtimas (TN),2022-01-01,2022-12-31
121 - 4784,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,112,10,0.4,3801,0003,0558,Atvejinis kirtimas,2022-01-01,2022-12-31
121 - 4981,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,134,14b,2.0,3801,0003,0054,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
121 - 5044,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,785,2a,0.4,3358,0003,0168,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5044,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,785,2a,0.6,3358,0003,0168,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5044,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,785,2a,1.0,3358,0003,0168,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5044,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,785,2b,0.4,3358,0003,0168,Atvejinis kirtimas,2022-01-01,2022-12-31
121 - 5133,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,30,11c,0.8,3840,0004,0234,Atvejinis kirtimas,2022-01-01,2022-12-31
121 - 5133,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,30,2,0.3,3840,0004,0234,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
121 - 5237,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,662,27,0.6,3880,0004,0020,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5237,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,662,28,0.1,3880,0004,0020,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5237,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,662,30,0.2,3880,0004,0020,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5237,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,662,34,0.1,3880,0004,0020,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5237,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Merkinės girininkija,662,34a,0.2,3880,0004,0020,Plynas kirtimas,2022-01-01,2022-12-31
