Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
122 - 10971,Kauno,Ukmergės rajono kontroliuojama teritorija,privati,Ukmergės miškų urėdija,Balelių girininkija,190,6a,0.6,8122,0002,0037,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10971,Kauno,Ukmergės rajono kontroliuojama teritorija,privati,Ukmergės miškų urėdija,Balelių girininkija,190,6b,0.4,8122,0002,0037,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10971,Kauno,Ukmergės rajono kontroliuojama teritorija,privati,Ukmergės miškų urėdija,Balelių girininkija,190,7a,1.4,8122,0002,0037,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10971,Kauno,Ukmergės rajono kontroliuojama teritorija,privati,Ukmergės miškų urėdija,Balelių girininkija,1960,5a,0.5,8122,0002,0037,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10972,Kauno,Ukmergės rajono kontroliuojama teritorija,privati,Ukmergės miškų urėdija,Balelių girininkija,188,306a,1.2,8122,0002,0036,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10972,Kauno,Ukmergės rajono kontroliuojama teritorija,privati,Ukmergės miškų urėdija,Balelių girininkija,188,307a,1.6,8122,0002,0036,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10975,Klaipėdos,Šilalės rajono kontroliuojama teritorija,privati,Rietavo miškų urėdija,Kaltinėnų girininkija,819,13,1.3,8734,0003,0114,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10975,Klaipėdos,Šilalės rajono kontroliuojama teritorija,privati,Rietavo miškų urėdija,Kaltinėnų girininkija,819,20,1.5,8734,0003,0114,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10976,Klaipėdos,Šilalės rajono kontroliuojama teritorija,privati,Rietavo miškų urėdija,Kaltinėnų girininkija,819,18,0.7,8734,0003,0114,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10977,Klaipėdos,Šilalės rajono kontroliuojama teritorija,privati,Rietavo miškų urėdija,Kaltinėnų girininkija,819,15b,1.5,8734,0003,0067,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10978,Klaipėdos,Šilalės rajono kontroliuojama teritorija,privati,Rietavo miškų urėdija,Kaltinėnų girininkija,819,23,0.5,8734,0003,0111,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10928,Utenos,Ignalinos rajono kontroliuojama teritorija,privati,Ignalinos miškų urėdija,Vaišniūnų girininkija,784,27,1.2,4557,0002,0052,Atvejinis kirtimas,2023-01-01,2023-12-31
122 - 10970,Vilniaus,Švenčionių rajono kontroliuojama teritorija,privati,Švenčionėlių miškų urėdija,Švenčionių girininkija,415,11,1.1,8687,0001,0430,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10958,Vilniaus,Vilniaus rajono kontroliuojama teritorija,privati,Švenčionėlių miškų urėdija,Žeimenos girininkija,313,12d,0.3,8624,0003,0414,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10959,Vilniaus,Vilniaus rajono kontroliuojama teritorija,privati,Švenčionėlių miškų urėdija,Žeimenos girininkija,313,10c,0.1,8624,0003,0414,Plynas kirtimas,2023-01-01,2023-12-31
122 - 10959,Vilniaus,Vilniaus rajono kontroliuojama teritorija,privati,Švenčionėlių miškų urėdija,Žeimenos girininkija,313,9d,0.9,8624,0003,0414,Plynas kirtimas,2023-01-01,2023-12-31
