Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
U5306 - 1,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Kuršėnų miškų urėdija,Gulbinų girininkija,128,"15,23,24",0.5,0,0,0,Kiti pagrindiniai kirtimai,2020-06-19,2020-12-31
A - 5638,Šiaulių,Šiaulių rajono kontroliuojama teritorija,privati,Kuršėnų miškų urėdija,Gedinčių girininkija,32,13a,0.4,9152,0003,0075,Plynas kirtimas,2020-02-25,2020-12-31
A - 6001,Šiaulių,Telšių rajono kontroliuojama teritorija,privati,Telšių miškų urėdija,Telšių girininkija,1148,3a,0.6,7803,0005,0157,Plynas kirtimas,2020-03-23,2020-12-31
A - 6005,Šiaulių,Telšių rajono kontroliuojama teritorija,privati,Telšių miškų urėdija,Varnių girininkija,1539,29b,0.9,7835,0007,0068,Plynas kirtimas,2020-04-16,2020-12-31
A - 6007,Šiaulių,Telšių rajono kontroliuojama teritorija,privati,Telšių miškų urėdija,Varnių girininkija,1537,5a,1.9,7835,0007,0040,Atrankinis kirtimas,2020-04-28,2020-12-31
A - 6007,Šiaulių,Telšių rajono kontroliuojama teritorija,privati,Telšių miškų urėdija,Varnių girininkija,1537,1,3.2,7835,0007,0040,Atrankinis kirtimas,2020-04-28,2020-12-31
A - 6008,Šiaulių,Telšių rajono kontroliuojama teritorija,privati,Telšių miškų urėdija,Žarėnų girininkija,1414,11a,0.5,7833,0003,0001,Plynas sanitarinis kirtimas (PN),2020-05-14,2020-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,175,"28,37",1.5,0,0,0,Atrankinis san.kirt. (PN),2019-03-26,2019-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,34,26,0.5,0,0,0,Atrankinis san.kirt. (PN),2019-03-26,2019-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,164,8,0.3,0,0,0,Plynas sanitarinis kirtimas (PN),2019-03-26,2019-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,176,17,1.5,0,0,0,Atrankinis san.kirt. (PN),2019-03-26,2019-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,175,23,0.7,0,0,0,Atrankinis san.kirt. (PN),2019-03-26,2019-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,33,41,0.8,0,0,0,Atrankinis san.kirt. (PN),2019-03-26,2019-12-31
A - 10906,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,162,32,0.9,0,0,0,Atrankinis san.kirt. (PN),2019-03-26,2019-12-31
A - 10919,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,174,14,0.9,0,0,0,Atrankinis san.kirt. (PN),2019-05-03,2019-12-31
A - 10919,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Žadvainių girininkija,177,9,0.5,0,0,0,Atrankinis san.kirt. (PN),2019-05-03,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,53,75,1.9,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,45,21,0.2,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,48,"21,22",1.2,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,59,"5a,8a",2.7,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,48,24,0.3,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,63,"17,18",2.4,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,53,71,0.3,0,0,0,Atrankinis san.kirt. (PN),2019-07-02,2019-12-31
A - 10938,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Judrėnų girininkija,45,24,0.4,0,0,0,Plynas kirtimas,2019-07-02,2019-12-31
A - 10946,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Girėnų girininkija,30,"1,8,15,16",8.3,0,0,0,Atrankinis san.kirt. (PN),2019-07-12,2019-12-31
A - 10946,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Girėnų girininkija,3,16,1.7,0,0,0,Atrankinis san.kirt. (PN),2019-07-12,2019-12-31
A - 10946,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Girėnų girininkija,2,35,0.4,0,0,0,Atrankinis san.kirt. (PN),2019-07-12,2019-12-31
A - 10946,Šiaulių,Šiaulių teritorinis poskyris,valstybinė,Rietavo miškų urėdija,Girėnų girininkija,4,"7,8",3.3,0,0,0,Atrankinis san.kirt. (PN),2019-07-12,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,53,12,2.0,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,52,26,0.5,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,57,6,0.4,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,57,7,1.3,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,60,18,1.1,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,65,15,1.8,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12229,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Joniškio girininkija,57,3,0.8,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12230,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Skaistgirio girininkija,93,7,1.0,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12230,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Skaistgirio girininkija,93,3,2.0,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
A - 12230,Šiaulių,Joniškio rajono kontroliuojama teritorija,valstybinė,Joniškio miškų urėdija,Skaistgirio girininkija,79,20,1.5,0,0,0,Plynas kirtimas,2019-01-01,2019-12-31
